item_identifier,outlet_identifier,item_fat_content,item_mrp,item_outlet_sales,item_visibility,item_weight,item_mrp_per_weight,item_mrp_per_visibility,outlet_age,std_of_item_mrp_wrt_item_identifier,avg_item_mrp_wrt_item_type,std_of_item_mrp_wrt_item_type,avg_item_mrp_wrt_outlet_identifier,std_of_item_mrp_wrt_outlet_identifier,avg_item_mrp_wrt_outlet_location_type,std_of_item_mrp_wrt_outlet_location_type,avg_item_mrp_wrt_outlet_size,std_of_item_mrp_wrt_outlet_size,avg_item_mrp_wrt_outlet_type,no_of_outlets_allocated_for_each_item,no_of_items_sold_wrt_each_item_type_in_each_outlet,no_of_items_sold_wrt_each_item_type_in_each_outlet_type,no_of_items_sold_wrt_each_item_type_for_each_outlet_size,no_of_items_sold_wrt_each_fat_content_in_each_outlet_type,no_of_items_sold_wrt_each_fat_content_for_each_outlet_size,no_of_items_sold_wrt_each_fat_content_for_each_item_type,no_of_outlets_allocated_wrt_outlet_size_for_each_outlet_type,item_baking_goods,item_breads,item_breakfast,item_canned,item_dairy,item_frozen_foods,item_fruits_and_vegetables,item_hard_drinks,item_health_and_hygiene,item_household,item_meat,item_seafood,item_snack_foods,item_soft_drinks,item_starchy_foods
FDK40,OUT049,0,263.791,4996.829000000001,0.0218833679999999,7.035,37.49694385216773,12054.405884871105,14,0.7865183475997893,136.46738513323996,66.59733901075771,141.1631992258065,62.144593618535815,140.93947999999986,61.99716309565804,141.05877512352268,62.06244154608586,141.012932623198,9,155,928,464,6013,3010,731,1550,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NCE42,OUT013,0,234.2958,3739.1328,0.010593469,21.1,11.1040663507109,22117.0043542866,26,1.2399596767637315,148.7365007751935,62.54545185638939,141.12842833226,62.14084848045319,141.06588758731854,62.04734275143888,141.12842833226,62.14084848045319,141.012932623198,9,168,1013,168,6013,1004,1548,1553,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDX56,OUT049,1,208.5638,5383.6588,0.0720579348888888,17.1,12.196713450292396,2894.3904695797755,14,1.1907047399661153,144.30423666169895,59.22192266193132,141.1631992258065,62.144593618535815,140.93947999999986,61.99716309565804,141.05877512352268,62.06244154608586,141.012932623198,9,219,1311,658,3281,1645,927,1550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDI41,OUT045,1,148.7418,2501.4106,0.0649345089,18.5,8.040097297297297,2290.6433346414365,11,1.4494826663330576,136.46738513323996,66.59733901075771,140.85734056847554,62.26267620014392,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,154,928,807,3281,2825,695,6191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NCQ53,OUT018,0,237.05900000000003,2836.308,0.018982338,17.6,13.469261363636363,12488.39842594732,4,1.1045361017187287,133.10807878787855,59.7998249394365,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,8,92,92,282,999,3010,858,1546,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FDO24,OUT045,0,157.4604,3010.7476,0.176573035,11.1,14.18562162162162,891.7579062963946,11,1.2114729327007945,127.45823720073652,57.30083627764299,140.85734056847554,62.26267620014392,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,117,709,610,6013,5171,542,6191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDV60,OUT017,1,195.811,2553.343,0.118025091,20.2,9.693613861386138,1659.0624785029818,6,1.2068784344562404,127.45823720073652,57.30083627764299,140.99893065456908,62.295512815056185,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,117,709,610,3281,2825,544,6191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRG01,OUT046,0,75.467,765.67,0.04487828,14.8,5.099121621621621,1681.592966575368,16,1.3657517262583894,135.4037258953167,60.552402888534985,140.8219816774196,62.106844175796304,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,141.012932623198,9,80,477,407,6013,5171,617,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FDJ03,OUT018,1,48.7692,788.3072,0.072689818,12.35,3.948923076923077,670.9220265209633,4,0.8303279138054084,147.23099753521103,70.17838495160788,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,9,124,124,373,547,1645,445,1546,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCY41,OUT049,0,36.8532,1150.5024,0.07585337,16.75,2.2001910447761195,485.8478931127252,14,1.2022663783223928,133.10807878787855,59.7998249394365,141.1631992258065,62.144593618535815,140.93947999999986,61.99716309565804,141.05877512352268,62.06244154608586,141.012932623198,10,95,563,282,6013,3010,858,1550,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NCY29,OUT046,0,56.893,1188.453,0.077234113,13.65,4.167985347985348,736.6304575803182,16,0.8356634091147765,133.10807878787855,59.7998249394365,140.8219816774196,62.106844175796304,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,141.012932623198,10,95,563,482,6013,5171,858,6191,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FDZ10,OUT019,0,127.202,506.008,0.077849833,17.849999999999998,7.126162464985996,1633.9405634948507,28,1.018768319535356,146.4603094017093,59.55443369546232,140.75238636363633,61.611736135955766,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,140.96114227146813,10,116,239,1111,1165,5171,1141,1805,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FDF35,OUT045,0,105.9938,428.7752,0.154301621,15.0,7.066253333333333,686.9260304141587,11,1.2129509470708226,149.75191747211886,66.71695909028087,140.85734056847554,62.26267620014392,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,8,30,180,149,6013,5171,157,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FDQ26,OUT045,1,57.2562,770.3306,0.068010049,13.5,4.2412,841.8785288626979,11,1.2839825197840935,147.23099753521103,70.17838495160788,140.85734056847554,62.26267620014392,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,9,125,746,639,3281,2825,445,6191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCE43,OUT046,0,170.8448,4942.8992,0.103442268,12.5,13.667584,1651.595651402384,16,1.2616127245183726,148.7365007751935,62.54545185638939,140.8219816774196,62.106844175796304,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,141.012932623198,10,169,1013,874,6013,5171,1548,6191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDZ59,OUT018,1,167.25,1830.95,0.104445322,6.63,25.2262443438914,1601.3163327697914,4,1.2447221912271569,127.45823720073652,57.30083627764299,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,10,119,119,357,547,1645,544,1546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
